date,equity
2026-01-26,100000.0
2026-01-26,100003.32328316839
2026-01-26,100044.3124143528
2026-01-26,100039.88108839862
2026-01-26,100037.66584801603
2026-01-26,100048.74374030698
2026-01-26,100038.21944681443
2026-01-26,100037.66584801603
2026-01-26,100017.72530381673
2026-01-26,100002.21524038259
2026-01-26,100004.43132595418
2026-01-26,100035.44976244443
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100019.61928042078
2026-01-26,100024.87933356239
2026-01-26,100029.26315709879
2026-01-26,100029.26315709879
2026-01-26,100034.51451483209
2026-01-26,100038.90703377678
2026-01-26,100038.03013529399
2026-01-26,100036.2763383284
2026-01-26,100035.40010872317
2026-01-26,100035.40010872317
2026-01-26,100031.89318366958
2026-01-26,100029.26315709879
2026-01-26,100028.386258616
2026-01-26,100027.5093601332
2026-01-26,100032.3312984722
2026-01-26,100035.40010872317
2026-01-26,100037.1532368112
2026-01-26,100029.26315709879
2026-01-26,100032.3312984722
2026-01-26,100032.77008215238
2026-01-26,100027.5093601332
2026-01-26,100026.63313052797
2026-01-26,100023.564320277
2026-01-26,100028.82437341861
2026-01-26,100027.07124533059
2026-01-26,100025.75623204518
2026-01-26,100029.7012719014
2026-01-26,100029.7012719014
2026-01-26,100031.0162851868
2026-01-26,100032.3312984722
2026-01-26,100031.0162851868
2026-01-26,100031.0162851868
2026-01-26,100030.139386704
2026-01-26,100031.45439998941
2026-01-26,100035.83822352579
2026-01-26,100032.77008215238
2026-01-26,100038.90703377678
2026-01-26,100038.03013529399
2026-01-26,100038.4682500966
2026-01-26,100034.08509543778
2026-01-26,100031.45439998941
2026-01-26,100044.605201721
2026-01-26,100052.0571666308
2026-01-27,100066.08486684518
2026-01-27,100088.87954525476
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100060.57906701736
2026-01-27,100059.65899194918
2026-01-27,100063.34139926404
2026-01-27,100071.62628896191
2026-01-27,100059.65899194918
2026-01-27,100056.43662216843
2026-01-27,100057.81743711806
2026-01-27,100062.42062184848
2026-01-27,100065.18225174777
2026-01-27,100062.42062184848
2026-01-27,100062.42062184848
2026-01-27,100061.03980689883
2026-01-27,100061.49984443292
2026-01-27,100058.73821453363
2026-01-27,100053.40799575533
2026-01-27,100053.40799575533
2026-01-27,100053.40799575533
2026-01-27,100053.40799575533
2026-01-27,100053.40799575533
2026-01-27,100059.50621150513
2026-01-27,100056.22233663892
2026-01-27,100067.48041592631
2026-01-27,100067.48041592631
2026-01-27,100063.25890460092
2026-01-27,100067.48041592631
2026-01-27,100072.1707454813
2026-01-27,100071.7019272517
2026-01-27,100071.23310902211
2026-01-27,100069.35640459771
2026-01-27,100070.29475680992
2026-01-27,100077.80014300151
2026-01-27,100082.49047255648
2026-01-27,100073.1184024828
2026-01-27,100066.54206371412
2026-01-27,100060.44384796431
2026-01-27,100059.50621150513
2026-01-27,100052.46964354313
2026-01-27,100055.75351840933
2026-01-27,100065.60371150191
2026-01-27,100059.97502973472
2026-01-27,100060.44384796431
2026-01-27,100062.32055238873
2026-01-27,100068.4180523855
2026-01-27,100065.60371150191
2026-01-27,100058.09904106334
2026-01-27,100064.19654106011
2026-01-27,100061.38220017652
2026-01-27,100056.22233663892
2026-01-27,100058.09904106334
2026-01-27,100050.59365487174
2026-01-27,100048.71695044733
2026-01-27,100038.39722337214
2026-01-27,100033.70689381716
2026-01-27,100032.76854160495
2026-01-27,100027.13985983777
2026-01-27,100029.01584850915
2026-01-27,100023.85598497157
2026-01-27,100028.54703027956
2026-01-27,100031.36137116316
2026-01-27,100032.29972337537
2026-01-27,100029.95420072136
2026-01-27,100030.89255293357
2026-01-27,100031.83018939276
2026-01-27,100025.73268939597
2026-01-27,100038.39722337214
2026-01-27,100043.08826868015
2026-01-28,100003.39509459477
2026-01-28,100003.39509459477
2026-01-28,100003.39509459477
2026-01-28,100003.39509459477
2026-01-28,100003.39509459477
2026-01-28,100025.00631514972
2026-01-28,100025.00631514972
2026-01-28,99992.588110257
2026-01-28,99939.45869431234
2026-01-28,99938.55868480932
2026-01-28,99937.657301246
2026-01-28,99921.4488858298
2026-01-28,99910.64190149201
2026-01-28,99898.93628171152
2026-01-28,99862.9152906861
2026-01-28,99844.00547270052
2026-01-28,99850.29042455825
2026-01-28,99830.49708579338
2026-01-28,99834.99988142909
2026-01-28,99826.89567372098
2026-01-28,99823.29426164861
2026-01-28,99803.4830600997
2026-01-28,99810.68725830478
2026-01-28,99825.09428065464
2026-01-28,99795.37747833128
2026-01-28,99787.27327062318
2026-01-28,99766.56205957125
2026-01-28,99777.36766984873
2026-01-28,99758.99785756497
2026-01-28,99774.66626727936
2026-01-28,99790.87605675588
2026-01-28,99802.58167653637
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99814.66682716395
2026-01-28,99818.06777394158
2026-01-28,99819.20171118103
2026-01-28,99824.86966749688
2026-01-28,99828.27061427452
2026-01-28,99816.93383670214
2026-01-28,99814.09942607388
2026-01-28,99848.67715988107
2026-01-28,99835.0733727705
2026-01-28,99852.0789715994
2026-01-28,99844.70967695405
2026-01-28,99823.73659519812
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-28,99823.4301515567
2026-01-29,99823.4301515567
2026-01-29,99828.09624807058
2026-01-29,99702.09027891526
2026-01-29,99713.75819061004
2026-01-29,99655.42219268293
2026-01-29,99599.42013314948
2026-01-29,99590.08615984833
2026-01-29,99642.58820192804
2026-01-29,99590.08615984833
2026-01-29,99573.75215163968
2026-01-29,99594.75225636222
2026-01-29,99556.25028409754
2026-01-29,99555.0842050374
2026-01-29,99508.4143385317
2026-01-29,99464.08019069301
2026-01-29,99443.0783056971
2026-01-29,99419.74426258095
2026-01-29,99468.7462872069
2026-01-29,99457.0801557855
2026-01-29,99448.9122615445
2026-01-29,99538.75019682875
2026-01-29,99564.41817833854
2026-01-29,99538.75019682875
2026-01-29,99536.64947424716
2026-01-29,99543.41629334264
2026-01-29,99545.75023173627
2026-01-29,99564.41817833854
2026-01-29,99564.41817833854
2026-01-29,99545.75023173627
2026-01-29,99559.75030155129
2026-01-29,99593.37610504394
2026-01-29,99592.4183179686
2026-01-29,99620.42023787201
2026-01-29,99632.08814956679
2026-01-29,99632.08814956679
2026-01-29,99625.0863343859
2026-01-29,99622.75417626563
2026-01-29,99611.08626457087
2026-01-29,99590.08615984833
2026-01-29,99544.58415267614
2026-01-29,99494.41426871669
2026-01-29,99475.7463221144
2026-01-29,99494.41426871669
2026-01-29,99522.4161886201
2026-01-29,99541.08413522238
2026-01-29,99536.41625843513
2026-01-29,99552.75026664378
2026-01-29,99565.58425739867
2026-01-29,99557.41814343103
2026-01-29,99580.7521865472
2026-01-29,99573.75215163968
2026-01-29,99564.41817833854
2026-01-29,99550.41632825015
2026-01-29,99522.4161886201
2026-01-29,99534.0823200415
2026-01-29,99548.08417012989
2026-01-29,99539.91627588889
2026-01-29,99570.25213418592
2026-01-29,99571.41821324606
2026-01-29,99579.5843272137
2026-01-29,99515.41615371259
2026-01-29,99530.58230258775
2026-01-29,99553.91812597727
2026-01-29,99535.250179375
2026-01-29,99542.25021428251
2026-01-29,99495.58212805018
2026-01-29,99508.4143385317
2026-01-29,99521.24832928661
2026-01-29,99523.58226768023
2026-01-29,99528.25014446749
2026-01-29,99532.91624098137
2026-01-29,99515.41615371259
2026-01-29,99545.75023173627
2026-01-29,99588.91830051484
2026-01-29,99580.7521865472
2026-01-29,99574.91823069981
2026-01-29,99587.7522214547
2026-01-29,99585.41828306108
2026-01-30,99603.50286968409
2026-01-30,99603.50286968409
2026-01-30,99589.50787417003
2026-01-30,99586.44688597515
2026-01-30,99604.37705641513
2026-01-30,99586.00912529152
2026-01-30,99590.38272821919
2026-01-30,99630.61733934496
2026-01-30,99645.48652159006
2026-01-30,99642.8626267607
2026-01-30,99650.73497856689
2026-01-30,99643.73748080987
