date,equity
2026-01-26,100000.0
2026-01-27,100000.0
2026-01-28,100000.0
2026-01-29,100000.0
2026-01-30,99996.85274062748
2026-02-02,99987.73300314664
2026-02-03,99990.16462294638
2026-02-04,99986.51672795403
2026-02-05,100025.42915884806
2026-02-06,100026.64636462611
2026-02-09,100029.07798442585
2026-02-10,100055.83045515025
2026-02-11,100037.59004960311
2026-02-12,100078.93596146778
2026-02-13,100105.68750160674
2026-02-17,100104.47215699959
2026-02-18,100094.74381662972
2026-02-19,100098.39171162205
2026-02-20,100097.17543642946
2026-02-23,100116.6321171692
2026-02-24,100111.76794698427
2026-02-25,100109.33632718452
2026-02-26,100122.71163196127
2026-02-27,100137.75709344812
2026-03-02,100134.21270147995
2026-03-03,100145.0772408906
2026-03-04,100151.86680094764
2026-03-05,100174.95420622018
2026-03-06,100188.53436243377
2026-03-09,100160.01572355539
2026-03-10,100191.24997923667
2026-03-11,100236.06542723103
2026-03-12,100272.73195261764
2026-03-13,100282.2381655771
2026-03-16,100240.70982863732
2026-03-17,100240.70982863732
2026-03-18,100240.70982863732
2026-03-19,100240.70982863732
2026-03-20,100240.70982863732
2026-03-23,100240.70982863732
2026-03-24,100237.55865947051
2026-03-25,100272.02729826051
2026-03-26,100219.09304891873
2026-03-26,100215.94154163991
