date,equity
2024-02-29,100000.0
2024-03-01,100000.0
2024-03-02,100000.0
2024-03-03,100000.0
2024-03-04,100000.0
2024-03-05,100000.0
2024-03-06,100000.0
2024-03-07,100000.0
2024-03-08,100000.0
2024-03-09,100000.0
2024-03-10,100000.0
2024-03-11,100000.0
2024-03-12,100000.0
2024-03-13,100000.0
2024-03-14,100000.0
2024-03-15,100000.0
2024-03-16,100000.0
2024-03-17,100000.0
2024-03-18,100000.0
2024-03-19,100000.0
2024-03-20,100000.0
2024-03-21,100000.0
2024-03-22,100000.0
2024-03-23,100000.0
2024-03-24,100000.0
2024-03-25,100000.0
2024-03-26,100000.0
2024-03-27,100000.0
2024-03-28,100000.0
2024-03-29,100000.0
2024-03-30,100000.0
2024-03-31,100000.0
2024-04-01,100000.0
2024-04-02,99927.8153392527
2024-04-03,100086.68393524876
2024-04-04,99613.265233665
2024-04-05,100373.47114729698
2024-04-06,99950.23066954625
2024-04-07,99790.951429725
2024-04-08,98756.1948771342
2024-04-09,100164.52392391802
2024-04-10,100295.83494828721
2024-04-11,100555.47523253375
2024-04-12,104044.52428351944
2024-04-13,106688.74108331675
2024-04-14,105537.58386106908
2024-04-15,106485.55206700892
2024-04-16,106075.99001249495
2024-04-17,106676.40031701801
2024-04-18,106040.20577408661
2024-04-19,105990.84883790396
2024-04-20,104236.50385604113
2024-04-21,104236.50385604113
2024-04-22,104167.06370538494
2024-04-23,104378.59510589346
2024-04-24,102066.37395174221
2024-04-25,103525.1497274703
2024-04-26,103863.2422995657
2024-04-27,103792.13316797651
2024-04-28,104484.36176248119
2024-04-29,104780.86530457833
2024-04-30,106408.56017400244
2024-05-01,106063.53609690734
2024-05-02,105987.80596198502
2024-05-03,104611.4336161417
2024-05-04,104506.8241230542
2024-05-05,104020.99333098432
2024-05-06,104356.90355009829
2024-05-07,104765.33444900502
2024-05-08,105229.60183396489
2024-05-09,104420.18222322478
2024-05-10,105719.28282459007
2024-05-11,106312.67626750673
2024-05-12,106536.27468375565
2024-05-13,106459.26114931489
2024-05-14,107264.82864883276
2024-05-15,106162.62754586566
2024-05-16,106903.88927010892
2024-05-17,105759.07394766237
2024-05-18,105776.53085884679
2024-05-19,106799.53416172476
2024-05-20,105051.44264626954
2024-05-21,105096.36736741556
2024-05-22,105469.11555184255
2024-05-23,105976.76604839276
2024-05-24,105060.81280162097
2024-05-25,104410.55577050304
2024-05-26,104942.46653455224
2024-05-27,104027.28217989134
2024-05-28,104331.48803176601
2024-05-29,104966.21229464369
2024-05-30,104895.87396783233
2024-05-31,105089.94845715644
2024-06-01,105106.63456356303
2024-06-02,105812.98246543742
2024-06-03,105669.09444401824
2024-06-04,105351.28379218138
2024-06-05,105044.25293123258
2024-06-06,105409.55701591927
2024-06-07,106827.00197168636
2024-06-08,107916.62537683941
2024-06-09,107390.2326569194
2024-06-10,107880.81260100758
2024-06-11,108819.87277711202
2024-06-12,107956.54464859684
2024-06-13,109248.71183229549
2024-06-14,109844.93028428627
2024-06-15,109708.74457264462
2024-06-16,109286.8351097939
2024-06-17,110613.65981849111
2024-06-18,112054.98059570172
2024-06-19,111470.31465204382
2024-06-20,111523.96687244858
2024-06-21,111393.42735362126
2024-06-22,112059.21524031248
2024-06-23,112273.05714248758
2024-06-24,111894.40455520901
2024-06-25,111141.720383985
2024-06-26,111195.63081442702
2024-06-27,110941.22698440179
2024-06-28,111328.86528097634
2024-06-29,111417.04496502756
2024-06-30,110744.32748600357
2024-07-01,110426.38677281461
2024-07-02,110029.38023355558
2024-07-03,110956.24524523449
2024-07-04,112398.71936061146
2024-07-05,112495.62845658835
2024-07-06,111437.06867524885
2024-07-07,113013.54997461993
2024-07-08,112147.2686883455
2024-07-09,111337.33648286478
2024-07-10,111366.21584102996
2024-07-11,111641.28603736917
2024-07-12,111521.27192472656
2024-07-13,110844.83048316548
2024-07-14,109691.67234927675
2024-07-15,109691.67234927675
2024-07-16,109691.67234927675
2024-07-17,109691.67234927675
2024-07-18,109608.03522734545
2024-07-19,108546.47387023264
2024-07-20,108502.8298880525
2024-07-21,108310.16570003484
2024-07-22,109747.31560125377
2024-07-23,111046.40034036932
2024-07-24,111691.68299093493
2024-07-25,112164.82013638981
2024-07-26,111207.41720005948
2024-07-27,111131.4288917362
2024-07-28,111819.14031267702
2024-07-29,111859.82788404812
2024-07-30,112092.65883837763
2024-07-31,112420.42918661967
2024-08-01,112590.31527873698
2024-08-02,114443.74129543315
2024-08-03,115042.42355300956
2024-08-04,116085.02993792816
2024-08-05,116846.98846818815
2024-08-06,116440.44829803517
2024-08-07,116947.49348034595
2024-08-08,114682.13628020024
2024-08-09,114597.35983619474
2024-08-10,114389.20933474536
2024-08-11,115708.64671045108
2024-08-12,114699.3681488967
2024-08-13,114376.11273614346
2024-08-14,114734.51893340722
2024-08-15,115639.72310011186
2024-08-16,115620.1937453283
2024-08-17,115005.16028901414
2024-08-18,114916.0192004254
2024-08-19,113733.97029642083
2024-08-20,112789.70742014906
2024-08-21,111241.67269025581
2024-08-22,111025.94084843162
2024-08-23,108984.40610374155
2024-08-24,108984.40610374155
2024-08-25,108984.40610374155
2024-08-26,108984.40610374155
2024-08-27,108984.40610374155
2024-08-28,108984.40610374155
2024-08-29,108910.05732909389
2024-08-30,108537.49377159105
2024-08-31,109605.9014276219
2024-09-01,110599.7565630781
2024-09-02,109138.07074415265
2024-09-03,110414.61350900296
2024-09-04,109785.6609987762
2024-09-05,110759.63474201843
2024-09-06,111080.21968411475
2024-09-07,110136.06880068722
2024-09-08,109217.38955270158
2024-09-09,108650.36021145678
2024-09-10,108333.50158384992
2024-09-11,108822.87237095187
2024-09-12,108211.52226059919
2024-09-13,107540.94612318074
2024-09-14,107957.21016887024
2024-09-15,108948.9930722936
2024-09-16,109532.38270858265
2024-09-17,109463.21212794147
2024-09-18,108730.71282154109
2024-09-19,107907.50437385419
2024-09-20,107628.96120852581
2024-09-21,106920.48621541778
2024-09-22,107765.02183448085
2024-09-23,107361.39176934613
2024-09-24,106437.95086234827
2024-09-25,106725.40015075459
2024-09-26,105393.35767332799
2024-09-27,105266.6136050903
2024-09-28,105876.51330731872
2024-09-29,105883.96902227239
2024-09-30,107329.08469987179
2024-10-01,109282.83227586592
2024-10-02,110030.86329309488
2024-10-03,109876.1618367683
2024-10-04,109066.00089025032
2024-10-05,109079.67175831519
2024-10-06,108878.16686620846
