timestamp,group,symbol,side,qty,price,reason,pnl_pct
2026-03-19 00:00:29,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:05:40,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:10:51,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:16:03,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:21:16,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:26:27,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:31:39,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:36:51,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:42:04,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:47:15,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:52:26,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 00:57:36,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 01:02:46,swing,GLD,SHORT,3,444.74,entry (SHORT),+0.0000
2026-03-19 06:52:32,swing,IBIT,SHORT,35,39.64,entry (SHORT),+0.0000
2026-03-19 07:08:09,swing,IBIT,SHORT,35.0,39.53,signal_decay (E[r]=+0.0019),+0.0031
2026-03-19 08:05:07,swing,IBIT,SHORT,16,39.55,entry (SHORT),+0.0000
2026-03-19 08:15:28,swing,IBIT,SHORT,16.0,39.51,signal_decay (E[r]=+0.0012),+0.0009
2026-03-19 08:15:29,swing,EWZ,SHORT,159.0,36.32,legacy_trailing_stop (3.04%),+0.0038
2026-03-19 12:04:22,swing,IBIT,SHORT,17,39.65,entry (SHORT),+0.0000
2026-03-19 12:09:26,swing,SLV,SHORT,15.0,65.42,"profit_lock_trail (8.49% from peak, P&L=+4.88%)",+0.0488
2026-03-19 12:14:38,swing,SLV,SHORT,15,65.55,entry (SHORT),+0.0000
2026-03-19 14:00:46,crypto,FIL/USD,SHORT,620.997403,0.89,signal_decay (E[r]=+0.0414),+0.0399
2026-03-19 14:11:23,crypto,FIL/USD,SHORT,618.759991,0.89,entry (SHORT),+0.0000
2026-03-19 17:03:41,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:08:52,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:14:07,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:19:18,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:24:29,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:29:40,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:34:52,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:40:03,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:45:15,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:50:31,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 17:55:44,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:00:55,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:06:07,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:11:21,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:16:32,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:21:43,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:26:54,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:32:11,swing,GLD,SHORT,3,426.41,entry (SHORT),+0.0000
2026-03-19 18:36:53,crypto,FIL/USD,SHORT,618.759991,0.91,signal_decay (E[r]=+0.0373),-0.0169
